dr_no,date_occ,date_rptd,time_occ,area_name,latitude,longitude,rpt_dist_no,mocodes,vict_age,vict_sex,vict_descent,premis_cd,location,cross_street,TMAX,TMIN,PRCP
200510671,2020-06-16,2020-06-16,12:40,long_beach,33.7434,-118.3098,0551,"{3037,3004,3028,3030,3101}",31,M,White,101,PACIFIC_COAST_HY,,22.2,16.7,0
200510677,2020-06-16,2020-06-17,14:10,long_beach,33.7947,-118.2975,0513,"{4025,3004,3028,3030,3101}",76,F,Black,101,NORMANDIE_AV,253RD,22.2,16.7,0
200510678,2020-06-16,2020-06-16,20:30,long_beach,33.7289,-118.2846,0567,"{3036,3011,3028,3101}",19,M,Other,101,MINER_ST,HARBOR_BL,22.2,16.7,0
200510686,2020-06-16,2020-06-16,17:10,long_beach,33.7792,-118.2768,0524,{},29,M,Hispanic,101,PACIFIC_COAST_HY,unknown,22.2,16.7,0
200510686,2020-06-16,2020-06-16,17:10,long_beach,33.7792,-118.2768,0524,{},29,M,Hispanic,101,PACIFIC_COAST_HY,,22.2,16.7,0
200510687,2020-05-28,2020-06-17,10:30,long_beach,33.8589,-118.2905,0505,"{4025,3006,3030,3028,3101}",50,F,Other,108,190TH_ST,VERMONT_AV,23.3,16.1,0
200510697,2020-06-16,2020-06-17,20:30,long_beach,33.7919,-118.2959,0503,"{4025,3037,3006,3028,3030,3101}",37,F,Black,101,MARIGOLD_AV,256TH_ST,22.2,16.7,0
200510708,2020-06-17,2020-06-17,16:30,long_beach,33.7434,-118.3043,0551,"{4025,3037,3004,3026,3101}",35,F,White,101,1ST_ST,WALKER_AV,22.2,16.1,0
200510722,2020-06-17,2020-06-17,17:05,long_beach,33.8315,-118.309,0506,"{3037,3004,3026,3029,3101}",30,F,Black,101,CARSON_ST,WESTERN_AV,22.2,16.1,0
200510733,2020-06-18,2020-06-18,09:20,long_beach,33.7897,-118.2787,0514,"{4025,3037,3004,3028,3030,3101}",25,F,Hispanic,101,W_PACIFIC_HY,FIGUEROA_ST,21.1,16.1,0
200510753,2020-06-17,2020-06-18,16:35,long_beach,33.8696,-118.2865,0501,"{3037,3004,3026,3101}",47,M,Hispanic,101,PACIFIC_COAST_HY,unknown,22.2,16.1,0
200510753,2020-06-17,2020-06-18,16:35,long_beach,33.8696,-118.2865,0501,"{3037,3004,3026,3101}",47,M,Hispanic,101,PACIFIC_COAST_HY,,22.2,16.1,0
